text,label
possess controlled substance intention to distribute,Drug Trafficking
accused of crack cocaine dealing,Drug Trafficking
crack cocaine for delivery,Drug Trafficking
transporting controlled substance,Drug Trafficking
carrying narcotic drug for sale at a library,Drug Trafficking
carrying opioid for sale at a public park,Drug Trafficking
charged with making marihuana for sale,Drug Trafficking
under suspicion of transport of methamphetamine,Drug Trafficking
indicted for found with opioid for sale,Drug Trafficking
delivery of controlled substanc,Drug Trafficking
possession of cocaine with intent,Drug Trafficking
selling heroin by the library,Drug Trafficking
trafficking controlled substance,Drug Trafficking
indicted for manufacturing marijana,Drug Trafficking
possession of opioid with intent,Drug Trafficking
charged with in possession of opioid for sale,Drug Trafficking
indicted for drug trafficking,Drug Trafficking
under suspicion of illegally smuggling drug to sell on market,Drug Trafficking
planning to sell narcotic drug for profit,Drug Trafficking
transport drugs intent to distribute,Drug Trafficking
accused of transport of crack cocaine,Drug Trafficking
charged with illegally smuggling cocaine to sell on market,Drug Trafficking
cannabis for sale,Drug Trafficking
charged with making narcotic drug for sale,Drug Trafficking
crack cocaine for sale,Drug Trafficking
possession of crack cocaine with intent,Drug Trafficking
possess drugs intention to distribute,Drug Trafficking
controlled substance for sale,Drug Trafficking
trafficking heroin,Drug Trafficking
transport marijana intent to distribute,Drug Trafficking
indicted for carrying fentanyl for sale,Drug Trafficking
selling of cannabis,Drug Trafficking
planning to sell methamphetamine for profit,Drug Trafficking
possess drug intention to deliver,Drug Trafficking
arrested for found with drugs for sale,Drug Trafficking
carrying illegal substance with intention to trade,Drug Trafficking
under suspicion of manufacturing opioid,Drug Trafficking
charged with illegally smuggling heroin to sell on market,Drug Trafficking
possess cocaine intention to deal,Drug Trafficking
found with drugs for sale,Drug Trafficking
charged with dealing in meth,Drug Trafficking
using cocaine with purpose to deal,Drug Trafficking
carrying controlled substance with intention to deliver,Drug Trafficking
accused of illegally smuggling methamphetamine to sell on market,Drug Trafficking
delivery of drugs,Drug Trafficking
distributing cannabis,Drug Trafficking
selling illegal substance by the busy area,Drug Trafficking
using methamphetamine for sale,Drug Trafficking
methamphetamine for sale,Drug Trafficking
accused of carrying controlled substance for sale,Drug Trafficking
drug for delivery,Drug Trafficking
charged with using heroin for sale,Drug Trafficking
distributing crack cocaine,Drug Trafficking
indicted for having heroin for sale,Drug Trafficking
marijuana for delivery,Drug Trafficking
charged with making marijana for sale,Drug Trafficking
arrested for transport of marijana,Drug Trafficking
carrying marihuana for sale,Drug Trafficking
selling marijana by the town hall,Drug Trafficking
delivery of narcotic drug,Drug Trafficking
indicted for transport of cocaine,Drug Trafficking
in possession of drugs for sale,Drug Trafficking
marihuana for delivery,Drug Trafficking
charged with manufacturing methamphetamine,Drug Trafficking
under suspicion of illegally smuggling drugs to sell on market,Drug Trafficking
transporting illegal substance,Drug Trafficking
under suspicion of transport of narcotic drug,Drug Trafficking
distributing methamphetamine,Drug Trafficking
possessing cocaine with purpose to sell,Drug Trafficking
distribution of marijana,Drug Trafficking
transport drugs intent to sell,Drug Trafficking
delivery of narcotic drug,Drug Trafficking
indicted for drug trafficking,Drug Trafficking
transporting meth,Drug Trafficking
charged with drug trafficking,Drug Trafficking
accused of making meth for sale,Drug Trafficking
carrying cocaine for sale,Drug Trafficking
under suspicion of transport of cocaine,Drug Trafficking
in possession of methamphetamine with purpose to distribute,Drug Trafficking
selling fentanyl by the intersection,Drug Trafficking
arrested for transport of controlled substanc,Drug Trafficking
charged with marihuana dealing,Drug Trafficking
having illegal substance with purpose to distribute,Drug Trafficking
accused of manufacturing marijuana,Drug Trafficking
drugs for sale,Drug Trafficking
possession of controlled substanc with intent to sell,Drug Trafficking
distribution of cocaine,Drug Trafficking
planning to sell illegal substance for profit,Drug Trafficking
indicted for making cannabis for sale,Drug Trafficking
carrying cocaine for sale at a town hall,Drug Trafficking
accused of transport of meth,Drug Trafficking
transporting marijana,Drug Trafficking
delivery of controlled substance,Drug Trafficking
distributing marijana,Drug Trafficking
possess controlled substanc intention to sell,Drug Trafficking
delivery of drugs,Drug Trafficking
under suspicion of transport of methamphetamine,Drug Trafficking
transporting cocaine,Drug Trafficking
trafficking illegal substance,Drug Trafficking
carrying controlled substanc for sale at a main street,Drug Trafficking
possession of cannabis with intent to deliver,Drug Trafficking
controlled substance for delivery,Drug Trafficking
having crack cocaine with purpose to trade,Drug Trafficking
selling opioid by the apartment,Drug Trafficking
transport opioid intent to deliver,Drug Trafficking
illegal substance for delivery,Drug Trafficking
trafficking cocaine,Drug Trafficking
charged with dealing in crack cocaine,Drug Trafficking
charged with found with marihuana for sale,Drug Trafficking
possess opioid intention to deliver,Drug Trafficking
planning to sell drugs for profit,Drug Trafficking
arrested for transport of controlled substanc,Drug Trafficking
charged with illegal substance dealing,Drug Trafficking
indicted for possessing marijuana for sale,Drug Trafficking
transporting crack cocaine,Drug Trafficking
indicted for making cannabis for sale,Drug Trafficking
trafficking drug,Drug Trafficking
under suspicion of illegally smuggling cannabis to sell on market,Drug Trafficking
selling of cannabis,Drug Trafficking
arrested for using methamphetamine for sale,Drug Trafficking
arrested for carrying fentanyl for sale,Drug Trafficking
selling of marijuana,Drug Trafficking
charged with transport of marijana,Drug Trafficking
possess marijana intention to deliver,Drug Trafficking
transporting fentanyl,Drug Trafficking
possession of marijana with intent,Drug Trafficking
arrested for owning cannabis for sale,Drug Trafficking
accused of illegally smuggling marijana to sell on market,Drug Trafficking
distributing controlled substanc,Drug Trafficking
delivery of cannabis,Drug Trafficking
transporting narcotic drug,Drug Trafficking
drugs for delivery,Drug Trafficking
carrying marihuana for sale,Drug Trafficking
narcotic drug for sale,Drug Trafficking
possession of opioid with intent to trade,Drug Trafficking
possession of methamphetamine with intent,Drug Trafficking
planning to sell controlled substanc for profit,Drug Trafficking
illegal substance for delivery,Drug Trafficking
charged with drug trafficking,Drug Trafficking
accused of drug dealing,Drug Trafficking
indicted for illegally smuggling marijana to sell on market,Drug Trafficking
charged with drug trafficking,Drug Trafficking
drug for delivery,Drug Trafficking
distributing meth,Drug Trafficking
under suspicion of having fentanyl for sale,Drug Trafficking
planning to sell controlled substance for profit,Drug Trafficking
drugs for delivery,Drug Trafficking
delivery of opioid,Drug Trafficking
in possession of drug for sale,Drug Trafficking
trafficking controlled substance,Drug Trafficking
accused of manufacturing meth,Drug Trafficking
drug for sale,Drug Trafficking
trafficking methamphetamine,Drug Trafficking
arrested for illegally smuggling fentanyl to sell on market,Drug Trafficking
indicted for using illegal substance for sale,Drug Trafficking
transport marijuana intent to distribute,Drug Trafficking
accused of cannabis dealing,Drug Trafficking
drugs for delivery,Drug Trafficking
possession of heroin with intent to traffic,Drug Trafficking
planning to sell opioid for profit,Drug Trafficking
distributing meth,Drug Trafficking
transporting cocaine,Drug Trafficking
trafficking marihuana,Drug Trafficking
selling of controlled substance,Drug Trafficking
carrying controlled substanc for sale at a busy area,Drug Trafficking
trafficking illegal substance,Drug Trafficking
charged with drug trafficking,Drug Trafficking
distributing methamphetamine,Drug Trafficking
arrested for transport of marihuana,Drug Trafficking
selling controlled substanc by the public park,Drug Trafficking
accused of illegally smuggling opioid to sell on market,Drug Trafficking
controlled substance for sale,Drug Trafficking
accused of transport of drugs,Drug Trafficking
charged with found with drugs for sale,Drug Trafficking
arrested for manufacturing methamphetamine,Drug Trafficking
possession of controlled substance with intent,Drug Trafficking
having fentanyl for sale,Drug Trafficking
accused of making controlled substanc for sale,Drug Trafficking
carrying marijana for sale at a shopping street,Drug Trafficking
in possession of fentanyl for sale,Drug Trafficking
charged with illegally smuggling crack cocaine to sell on market,Drug Trafficking
possession of drugs with intent,Drug Trafficking
trafficking methamphetamine,Drug Trafficking
charged with drug trafficking,Drug Trafficking
marijana for sale,Drug Trafficking
trafficking marihuana,Drug Trafficking
having controlled substanc with purpose to deliver,Drug Trafficking
possession of narcotic drug with intent to traffic,Drug Trafficking
carrying controlled substanc with intention to deliver,Drug Trafficking
arrested for drug trafficking,Drug Trafficking
transporting opioid,Drug Trafficking
possession of marijana with intent to deliver,Drug Trafficking
trafficking marihuana,Drug Trafficking
indicted for dealing in marijana,Drug Trafficking
charged with owning marijana for sale,Drug Trafficking
trafficking cocaine,Drug Trafficking
under suspicion of drugs dealing,Drug Trafficking
accused of making cannabis for sale,Drug Trafficking
arrested for cannabis dealing,Drug Trafficking
